Freq [GHz] , NETarr [microK/rtHz] , Sensitivity [microK -arcmin]
40.0  ,  24.38  ,  49.31
50.0  ,  12.86  ,  26.02
60.0  ,  10.13  ,  20.49
68.0  ,  6.35  ,  12.85
78.0  ,  5.18  ,  10.49
89.0  ,  4.3  ,  8.7
100.0  ,  3.09  ,  6.25
119.0  ,  2.09  ,  4.23
140.0  ,  2.15  ,  4.35
166.0  ,  2.28  ,  4.62
195.0  ,  2.53  ,  5.11
235.0  ,  5.76  ,  11.66
280.0  ,  6.84  ,  13.84
337.0  ,  9.71  ,  19.64
402.0  ,  20.0  ,  40.46
Averaged_sensitivity =  1.93
T_HWP= [ 20.0 20.0 20.0 ] K, T_stop= [ 5.0 5.0 5.0 ] K, Duty cycle=  0.85  T_bath=  0.1
